total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
3,4,3,GRIGORYAN Aleksandra,5921,2005-08-01,18,W,ARM,A,58.55,59 kg Women,0,0,579,European Junior Championships,2023-07-24,83,86,-88,86,108,-112,112,112,198
4,3,4,DE RISO Greta,4031,2006-12-27,16.6,W,ITA,A,58.95,59 kg Women,0,0,579,European Junior Championships,2023-07-24,85,88,-90,88,105,-109,109,109,197
5,7,5,POLKA Maria,13013,2003-01-07,20.5,W,POL,A,58.85,59 kg Women,0,0,579,European Junior Championships,2023-07-24,82,-86,-86,82,102,106,-109,106,188
7,6,8,THORNTON Tenishia,16216,2005-09-01,17.9,W,MLT,A,58.85,59 kg Women,0,0,579,European Junior Championships,2023-07-24,81,83,-85,83,-100,100,-102,100,183
8,12,7,AHMETOV Salina,392,2003-03-12,20.4,W,GER,A,58.95,59 kg Women,0,0,579,European Junior Championships,2023-07-24,78,-81,-81,78,98,101,-105,101,179
9,9,9,MICHEL Maelyn Delia Angeline,10674,2004-02-25,19.4,W,FRA,A,59,59 kg Women,0,0,579,European Junior Championships,2023-07-24,-77,77,80,80,95,-98,98,98,178
10,8,11,OLALLA MUNOZ Maria,12054,2005-07-01,18.1,W,ESP,A,56.95,59 kg Women,0,0,579,European Junior Championships,2023-07-24,75,78,81,81,95,-98,-98,95,176
11,10,10,POLKA Zuzanna,13014,2003-01-07,20.5,W,POL,A,57.95,59 kg Women,0,0,579,European Junior Championships,2023-07-24,77,79,-81,79,94,97,-100,97,176
13,15,12,DOBRE Estefania Venusa Georgana,4308,2006-08-29,16.9,W,ROU,A,56.55,59 kg Women,0,0,579,European Junior Championships,2023-07-24,70,75,-78,75,92,-96,-96,92,167
NA,11,NA,MUHRMAN Tilde Mi Christina,11230,2004-08-03,19,W,SWE,A,58.2,59 kg Women,0,0,579,European Junior Championships,2023-07-24,76,-79,79,79,-100,-100,-100,NA,NA
